Unicode(s)	Character(s)	Glyph name	Character name(s)	Added
0041,0304,0306	&#x0041;&#x0304;&#x0306;	n/a	LATIN CAPITAL LETTER A , COMBINING MACRON , COMBINING BREVE	&bull;
0041,0308,0300	&#x0041;&#x0308;&#x0300;	n/a	LATIN CAPITAL LETTER A , COMBINING DIAERESIS , COMBINING GRAVE ACCENT	&bull;
0041,0308,0301	&#x0041;&#x0308;&#x0301;	n/a	LATIN CAPITAL LETTER A , COMBINING DIAERESIS , COMBINING ACUTE ACCENT	&bull;
0041,0308,0302	&#x0041;&#x0308;&#x0302;	n/a	LATIN CAPITAL LETTER A , COMBINING DIAERESIS , COMBINING CIRCUMFLEX ACCENT	&bull;
0041,0308,030C	&#x0041;&#x0308;&#x030C;	n/a	LATIN CAPITAL LETTER A , COMBINING DIAERESIS , COMBINING CARON	&bull;
0041,0323,0300	&#x0041;&#x0323;&#x0300;	n/a	LATIN CAPITAL LETTER A , COMBINING DOT BELOW , COMBINING GRAVE ACCENT	&bull;
0041,0323,0301	&#x0041;&#x0323;&#x0301;	n/a	LATIN CAPITAL LETTER A , COMBINING DOT BELOW , COMBINING ACUTE ACCENT	&bull;
0041,0323,0303	&#x0041;&#x0323;&#x0303;	n/a	LATIN CAPITAL LETTER A , COMBINING DOT BELOW , COMBINING TILDE	&bull;
0041,0323,030C	&#x0041;&#x0323;&#x030C;	n/a	LATIN CAPITAL LETTER A , COMBINING DOT BELOW , COMBINING CARON	&bull;
0041,0327	&#x0041;&#x0327;	uni00410327	LATIN CAPITAL LETTER A , COMBINING CEDILLA	&bull;
0041,0331	&#x0041;&#x0331;	n/a	LATIN CAPITAL LETTER A , COMBINING MACRON BELOW	&bull;
0041,1DC4	&#x0041;&#x1DC4;	n/a	LATIN CAPITAL LETTER A , COMBINING MACRON-ACUTE	&bull;
0041,1DC5	&#x0041;&#x1DC5;	n/a	LATIN CAPITAL LETTER A , COMBINING GRAVE-MACRON	&bull;
0041,1DC6	&#x0041;&#x1DC6;	n/a	LATIN CAPITAL LETTER A , COMBINING MACRON-GRAVE	&bull;
0041,1DC7	&#x0041;&#x1DC7;	n/a	LATIN CAPITAL LETTER A , COMBINING ACUTE-MACRON	&bull;
0042,0355	&#x0042;&#x0355;	n/a	LATIN CAPITAL LETTER B , COMBINING RIGHT ARROWHEAD BELOW	&bull;
0045,0308,0300	&#x0045;&#x0308;&#x0300;	n/a	LATIN CAPITAL LETTER E , COMBINING DIAERESIS , COMBINING GRAVE ACCENT	&bull;
0045,0308,0301	&#x0045;&#x0308;&#x0301;	n/a	LATIN CAPITAL LETTER E , COMBINING DIAERESIS , COMBINING ACUTE ACCENT	&bull;
0045,0308,0302	&#x0045;&#x0308;&#x0302;	n/a	LATIN CAPITAL LETTER E , COMBINING DIAERESIS , COMBINING CIRCUMFLEX ACCENT	&bull;
0045,0308,0304	&#x0045;&#x0308;&#x0304;	n/a	LATIN CAPITAL LETTER E , COMBINING DIAERESIS , COMBINING MACRON	&bull;
0045,0308,030C	&#x0045;&#x0308;&#x030C;	n/a	LATIN CAPITAL LETTER E , COMBINING DIAERESIS , COMBINING CARON	&bull;
0045,030D	&#x0045;&#x030D;	n/a	LATIN CAPITAL LETTER E , COMBINING VERTICAL LINE ABOVE	&bull;
0045,0323,0300	&#x0045;&#x0323;&#x0300;	n/a	LATIN CAPITAL LETTER E , COMBINING DOT BELOW , COMBINING GRAVE ACCENT	&bull;
0045,0323,0301	&#x0045;&#x0323;&#x0301;	n/a	LATIN CAPITAL LETTER E , COMBINING DOT BELOW , COMBINING ACUTE ACCENT	&bull;
0045,0323,0303	&#x0045;&#x0323;&#x0303;	n/a	LATIN CAPITAL LETTER E , COMBINING DOT BELOW , COMBINING TILDE	&bull;
0045,0323,030C	&#x0045;&#x0323;&#x030C;	n/a	LATIN CAPITAL LETTER E , COMBINING DOT BELOW , COMBINING CARON	&bull;
0045,0323,1DC4	&#x0045;&#x0323;&#x1DC4;	n/a	LATIN CAPITAL LETTER E , COMBINING DOT BELOW , COMBINING MACRON-ACUTE	&bull;
0045,0323,1DC5	&#x0045;&#x0323;&#x1DC5;	n/a	LATIN CAPITAL LETTER E , COMBINING DOT BELOW , COMBINING GRAVE-MACRON	&bull;
0045,0323,1DC6	&#x0045;&#x0323;&#x1DC6;	n/a	LATIN CAPITAL LETTER E , COMBINING DOT BELOW , COMBINING MACRON-GRAVE	&bull;
0045,0323,1DC7	&#x0045;&#x0323;&#x1DC7;	n/a	LATIN CAPITAL LETTER E , COMBINING DOT BELOW , COMBINING ACUTE-MACRON	&bull;
0045,0331	&#x0045;&#x0331;	n/a	LATIN CAPITAL LETTER E , COMBINING MACRON BELOW	&bull;
0045,1DC4	&#x0045;&#x1DC4;	n/a	LATIN CAPITAL LETTER E , COMBINING MACRON-ACUTE	&bull;
0045,1DC5	&#x0045;&#x1DC5;	n/a	LATIN CAPITAL LETTER E , COMBINING GRAVE-MACRON	&bull;
0045,1DC6	&#x0045;&#x1DC6;	n/a	LATIN CAPITAL LETTER E , COMBINING MACRON-GRAVE	&bull;
0045,1DC7	&#x0045;&#x1DC7;	n/a	LATIN CAPITAL LETTER E , COMBINING ACUTE-MACRON	&bull;
0047,0303	&#x0047;&#x0303;	n/a	LATIN CAPITAL LETTER G , COMBINING TILDE
0047,0323	&#x0047;&#x0323;	n/a	LATIN CAPITAL LETTER G , COMBINING DOT BELOW	&bull;
0049,0308,0300	&#x0049;&#x0308;&#x0300;	n/a	LATIN CAPITAL LETTER I , COMBINING DIAERESIS , COMBINING GRAVE ACCENT	&bull;
0049,0308,0302	&#x0049;&#x0308;&#x0302;	n/a	LATIN CAPITAL LETTER I , COMBINING DIAERESIS , COMBINING CIRCUMFLEX ACCENT	&bull;
0049,0308,0304	&#x0049;&#x0308;&#x0304;	n/a	LATIN CAPITAL LETTER I , COMBINING DIAERESIS , COMBINING MACRON	&bull;
0049,0308,030C	&#x0049;&#x0308;&#x030C;	n/a	LATIN CAPITAL LETTER I , COMBINING DIAERESIS , COMBINING CARON	&bull;
0049,030D	&#x0049;&#x030D;	n/a	LATIN CAPITAL LETTER I , COMBINING VERTICAL LINE ABOVE	&bull;
0049,0323,0300	&#x0049;&#x0323;&#x0300;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING GRAVE ACCENT	&bull;
0049,0323,0301	&#x0049;&#x0323;&#x0301;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING ACUTE ACCENT	&bull;
0049,0323,0302	&#x0049;&#x0323;&#x0302;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING CIRCUMFLEX ACCENT	&bull;
0049,0323,0303	&#x0049;&#x0323;&#x0303;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING TILDE	&bull;
0049,0323,0304	&#x0049;&#x0323;&#x0304;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING MACRON	&bull;
0049,0323,1DC4	&#x0049;&#x0323;&#x1DC4;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING MACRON-ACUTE	&bull;
