Unicode	Character	Glyph name	Character name	Added	Notes
0020	&#x0020;	space	SPACE
0021	&#x0021;	exclam	EXCLAMATION MARK
0022	&#x0022;	quotedbl	QUOTATION MARK
0023	&#x0023;	numbersign	NUMBER SIGN
0024	&#x0024;	dollar	DOLLAR SIGN
0025	&#x0025;	percent	PERCENT SIGN
0026	&#x0026;	ampersand	AMPERSAND
0027	&#x0027;	quotesingle	APOSTROPHE
0028	&#x0028;	parenleft	LEFT PARENTHESIS
0029	&#x0029;	parenright	RIGHT PARENTHESIS
002A	&#x002A;	asterisk	ASTERISK
002B	&#x002B;	plus	PLUS SIGN
002C	&#x002C;	comma	COMMA
002D	&#x002D;	hyphen	HYPHEN-MINUS
002E	&#x002E;	period	FULL STOP
002F	&#x002F;	slash	SOLIDUS
0030	&#x0030;	zero	DIGIT ZERO
0031	&#x0031;	one	DIGIT ONE
0032	&#x0032;	two	DIGIT TWO
0033	&#x0033;	three	DIGIT THREE
0034	&#x0034;	four	DIGIT FOUR
0035	&#x0035;	five	DIGIT FIVE
0036	&#x0036;	six	DIGIT SIX
0037	&#x0037;	seven	DIGIT SEVEN
0038	&#x0038;	eight	DIGIT EIGHT
0039	&#x0039;	nine	DIGIT NINE
003A	&#x003A;	colon	COLON
003B	&#x003B;	semicolon	SEMICOLON
003C	&#x003C;	less	LESS-THAN SIGN
003D	&#x003D;	equal	EQUALS SIGN
003E	&#x003E;	greater	GREATER-THAN SIGN
003F	&#x003F;	question	QUESTION MARK
0040	&#x0040;	at	COMMERCIAL AT
0041	&#x0041;	A	LATIN CAPITAL LETTER A
0042	&#x0042;	B	LATIN CAPITAL LETTER B
0043	&#x0043;	C	LATIN CAPITAL LETTER C
0044	&#x0044;	D	LATIN CAPITAL LETTER D
0045	&#x0045;	E	LATIN CAPITAL LETTER E
0046	&#x0046;	F	LATIN CAPITAL LETTER F
0047	&#x0047;	G	LATIN CAPITAL LETTER G
0048	&#x0048;	H	LATIN CAPITAL LETTER H
0049	&#x0049;	I	LATIN CAPITAL LETTER I
004A	&#x004A;	J	LATIN CAPITAL LETTER J
004B	&#x004B;	K	LATIN CAPITAL LETTER K
004C	&#x004C;	L	LATIN CAPITAL LETTER L
004D	&#x004D;	M	LATIN CAPITAL LETTER M
004E	&#x004E;	N	LATIN CAPITAL LETTER N
004F	&#x004F;	O	LATIN CAPITAL LETTER O
0050	&#x0050;	P	LATIN CAPITAL LETTER P
0051	&#x0051;	Q	LATIN CAPITAL LETTER Q
0052	&#x0052;	R	LATIN CAPITAL LETTER R
0053	&#x0053;	S	LATIN CAPITAL LETTER S
0054	&#x0054;	T	LATIN CAPITAL LETTER T
0055	&#x0055;	U	LATIN CAPITAL LETTER U
0056	&#x0056;	V	LATIN CAPITAL LETTER V
0057	&#x0057;	W	LATIN CAPITAL LETTER W
0058	&#x0058;	X	LATIN CAPITAL LETTER X
0059	&#x0059;	Y	LATIN CAPITAL LETTER Y
005A	&#x005A;	Z	LATIN CAPITAL LETTER Z
005B	&#x005B;	bracketleft	LEFT SQUARE BRACKET
005C	&#x005C;	backslash	REVERSE SOLIDUS
005D	&#x005D;	bracketright	RIGHT SQUARE BRACKET
005E	&#x005E;	asciicircum	CIRCUMFLEX ACCENT
005F	&#x005F;	underscore	LOW LINE
0060	&#x0060;	grave	GRAVE ACCENT
0061	&#x0061;	a	LATIN SMALL LETTER A
0062	&#x0062;	b	LATIN SMALL LETTER B
0063	&#x0063;	c	LATIN SMALL LETTER C
0064	&#x0064;	d	LATIN SMALL LETTER D
0065	&#x0065;	e	LATIN SMALL LETTER E
0066	&#x0066;	f	LATIN SMALL LETTER F
0067	&#x0067;	g	LATIN SMALL LETTER G
0068	&#x0068;	h	LATIN SMALL LETTER H
0069	&#x0069;	i	LATIN SMALL LETTER I
006A	&#x006A;	j	LATIN SMALL LETTER J
006B	&#x006B;	k	LATIN SMALL LETTER K
006C	&#x006C;	l	LATIN SMALL LETTER L
006D	&#x006D;	m	LATIN SMALL LETTER M
006E	&#x006E;	n	LATIN SMALL LETTER N
006F	&#x006F;	o	LATIN SMALL LETTER O
0070	&#x0070;	p	LATIN SMALL LETTER P
0071	&#x0071;	q	LATIN SMALL LETTER Q
0072	&#x0072;	r	LATIN SMALL LETTER R
0073	&#x0073;	s	LATIN SMALL LETTER S
0074	&#x0074;	t	LATIN SMALL LETTER T
0075	&#x0075;	u	LATIN SMALL LETTER U
0076	&#x0076;	v	LATIN SMALL LETTER V
0077	&#x0077;	w	LATIN SMALL LETTER W
0078	&#x0078;	x	LATIN SMALL LETTER X
0079	&#x0079;	y	LATIN SMALL LETTER Y
007A	&#x007A;	z	LATIN SMALL LETTER Z
007B	&#x007B;	braceleft	LEFT CURLY BRACKET
007C	&#x007C;	bar	VERTICAL LINE
007D	&#x007D;	braceright	RIGHT CURLY BRACKET
007E	&#x007E;	asciitilde	TILDE
00A0	&#x00A0;	uni00A0	NO-BREAK SPACE
00A1	&#x00A1;	exclamdown	INVERTED EXCLAMATION MARK
00A2	&#x00A2;	cent	CENT SIGN
00A3	&#x00A3;	sterling	POUND SIGN
00A4	&#x00A4;	currency	CURRENCY SIGN
00A5	&#x00A5;	yen	YEN SIGN
00A6	&#x00A6;	brokenbar	BROKEN BAR
00A7	&#x00A7;	section	SECTION SIGN
00A8	&#x00A8;	dieresis	DIAERESIS
00A9	&#x00A9;	copyright	COPYRIGHT SIGN
00AA	&#x00AA;	ordfeminine	FEMININE ORDINAL INDICATOR
00AB	&#x00AB;	guillemotleft	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
00AC	&#x00AC;	logicalnot	NOT SIGN
00AD	&#x00AD;	uni00AD	SOFT HYPHEN
00AE	&#x00AE;	registered	REGISTERED SIGN
00AF	&#x00AF;	macron	MACRON
00B0	&#x00B0;	degree	DEGREE SIGN
00B1	&#x00B1;	plusminus	PLUS-MINUS SIGN
00B2	&#x00B2;	twosuperior	SUPERSCRIPT TWO
00B3	&#x00B3;	threesuperior	SUPERSCRIPT THREE
00B4	&#x00B4;	acute	ACUTE ACCENT
00B5	&#x00B5;	uni00B5	MICRO SIGN
00B6	&#x00B6;	paragraph	PILCROW SIGN
00B7	&#x00B7;	periodcentered	MIDDLE DOT
00B8	&#x00B8;	cedilla	CEDILLA
00B9	&#x00B9;	onesuperior	SUPERSCRIPT ONE
00BA	&#x00BA;	ordmasculine	MASCULINE ORDINAL INDICATOR
00BB	&#x00BB;	guillemotright	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
00BC	&#x00BC;	onequarter	VULGAR FRACTION ONE QUARTER
00BD	&#x00BD;	onehalf	VULGAR FRACTION ONE HALF
00BE	&#x00BE;	threequarters	VULGAR FRACTION THREE QUARTERS
00BF	&#x00BF;	questiondown	INVERTED QUESTION MARK
00C0	&#x00C0;	Agrave	LATIN CAPITAL LETTER A WITH GRAVE
00C1	&#x00C1;	Aacute	LATIN CAPITAL LETTER A WITH ACUTE
00C2	&#x00C2;	Acircumflex	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
00C3	&#x00C3;	Atilde	LATIN CAPITAL LETTER A WITH TILDE
00C4	&#x00C4;	Adieresis	LATIN CAPITAL LETTER A WITH DIAERESIS
00C5	&#x00C5;	Aring	LATIN CAPITAL LETTER A WITH RING ABOVE
00C6	&#x00C6;	AE	LATIN CAPITAL LETTER AE
00C7	&#x00C7;	Ccedilla	LATIN CAPITAL LETTER C WITH CEDILLA
00C8	&#x00C8;	Egrave	LATIN CAPITAL LETTER E WITH GRAVE
00C9	&#x00C9;	Eacute	LATIN CAPITAL LETTER E WITH ACUTE
00CA	&#x00CA;	Ecircumflex	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB	&#x00CB;	Edieresis	LATIN CAPITAL LETTER E WITH DIAERESIS
00CC	&#x00CC;	Igrave	LATIN CAPITAL LETTER I WITH GRAVE
00CD	&#x00CD;	Iacute	LATIN CAPITAL LETTER I WITH ACUTE
00CE	&#x00CE;	Icircumflex	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF	&#x00CF;	Idieresis	LATIN CAPITAL LETTER I WITH DIAERESIS
00D0	&#x00D0;	Eth	LATIN CAPITAL LETTER ETH
00D1	&#x00D1;	Ntilde	LATIN CAPITAL LETTER N WITH TILDE
00D2	&#x00D2;	Ograve	LATIN CAPITAL LETTER O WITH GRAVE
00D3	&#x00D3;	Oacute	LATIN CAPITAL LETTER O WITH ACUTE
00D4	&#x00D4;	Ocircumflex	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
00D5	&#x00D5;	Otilde	LATIN CAPITAL LETTER O WITH TILDE
00D6	&#x00D6;	Odieresis	LATIN CAPITAL LETTER O WITH DIAERESIS
00D7	&#x00D7;	multiply	MULTIPLICATION SIGN
00D8	&#x00D8;	Oslash	LATIN CAPITAL LETTER O WITH STROKE
00D9	&#x00D9;	Ugrave	LATIN CAPITAL LETTER U WITH GRAVE
00DA	&#x00DA;	Uacute	LATIN CAPITAL LETTER U WITH ACUTE
00DB	&#x00DB;	Ucircumflex	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
00DC	&#x00DC;	Udieresis	LATIN CAPITAL LETTER U WITH DIAERESIS
00DD	&#x00DD;	Yacute	LATIN CAPITAL LETTER Y WITH ACUTE
00DE	&#x00DE;	Thorn	LATIN CAPITAL LETTER THORN
00DF	&#x00DF;	germandbls	LATIN SMALL LETTER SHARP S
00E0	&#x00E0;	agrave	LATIN SMALL LETTER A WITH GRAVE
00E1	&#x00E1;	aacute	LATIN SMALL LETTER A WITH ACUTE
00E2	&#x00E2;	acircumflex	LATIN SMALL LETTER A WITH CIRCUMFLEX
00E3	&#x00E3;	atilde	LATIN SMALL LETTER A WITH TILDE
00E4	&#x00E4;	adieresis	LATIN SMALL LETTER A WITH DIAERESIS
00E5	&#x00E5;	aring	LATIN SMALL LETTER A WITH RING ABOVE
00E6	&#x00E6;	ae	LATIN SMALL LETTER AE
00E7	&#x00E7;	ccedilla	LATIN SMALL LETTER C WITH CEDILLA
00E8	&#x00E8;	egrave	LATIN SMALL LETTER E WITH GRAVE
